Form Name,Form Header or Image File  ,Font Color,Execute After Data Record Deletion  
INLIEFARTKILL,Edit Supplier´s Items ,,
INLIEFAUSW,Supplier Analysis  ,,
INLIEFBON,Suppliers Bonus List  ,,
INLIEFBRIEF,Create Manual Letters,,
INLIEFLST1,Print Supplier Master Data,,
INLIEFOP,Open Invoices - Suppliers ,,
INLIEFSUCH,Search For Suppliers,,
INLIMIT2,Start Open To Buy Process  ,,
INLIMITDRUCK,Print Open To Buy  ,,
INLOADLIST,Item Load List,,
INLPGEN,Create Stock Locations,,
INLPLAYOUT1,Stock Location Layout ,,
INLPLAYOUT1A,Layout of stock location  ,,
INLVERZ,Supplier List,,
INLXL,Print Storing Orders,,
INLXU,Location Overview,,
INMAILFETCH,Start Mail Fetch ,,
INMAILJOB1,Transmit Automatic E-Mail,8 - black,
INMASCHLAST,Print Machine Utilization,,
INMASCHST,Print Machine Utilization,,
INMASCHSTW,Weekly Machine Capacity   ,,
INMINBEST,Print Minimum Inventory List  ,,
INNACHKALK,Before/After Cost Counting  ,,
INNACHKALK1,Product Costing Analysis,,
INNACHKALK2,Post Parts Calculation,,
INOPINPUT,Data Of The Server Import,,
INOPINPUT1,Import Data From Server,,
INPARAMETER,List Of Important Parameter Settings ,,
INPICKCHECK,Edit Pick Quantity,,
INPICKONL,Electronic Pick List,,
INPICKUM,Transfer list To Pick-Level,,
INPLANAGRAMCHECK,Missing Orders By Date ,,
INPLANAGRAMCHG,Planagram Mass Item Change ,,
INPLANAGRAMITM1,Planagram Item ,,
INPLANAGRAMITM2,Planagram Item ,,
INPLANAGRAMPDA,Create PDA Files ,,
INPLANAGRAMSETITM1,Planagram Set Item ,,
INPLANAGRAMSETITM2,Planagram Set Item ,,
INPLZSTD,Import Zip Code,,
INPREIS,Print Item Price List,,
INPROAUF,Print Production Order,,
INPROBDE,Edit Time Stamps (Batch),,
INPROBDEAUF,Edit Time Stamps (Batch),,
INPRODAUER1,Start Service Projects,8 - black,
INPRODAUER2,Start Service Projects,8 - black,
INPRODAUERDR,Print Project Time Table,,
INPROENDE,Finish Work Order,,
INPROFERTIG,Enter Production Stop,,
INPROGRAPH,Graphic Production Planning (Gantt Chart),,
INPROJCHART,Project Summary ,,
INPROLENK,Display Product Control Plan  ,,
INPROLENKMAIL,Send Product Control Plan As E-Mail  ,,
