Form Name,Form Header or Image File  ,Font Color,Execute After Data Record Deletion  
INKUECH,Enter Food Plan,,
INFIBKUNDE,Customer Financial Parameter ,,
INKSUCH,Customer Search ,,
INKUNDE,Customer Master Data,,D KILL^INKUNDE($G(YKEY))  ;LÖSCHEN UNTERDATEIEN
INKUNDESPERR,Closed Customers,,
INKUNDEA,Customer  Addresses ,,
INKUNDEANFR,Edit Customer Inquiries,,
INKUNDEANFRSTA,Inquiry List  ,,
INKUNDEANFRQ,Offer Requests after Quotes  ,,
INKUNDEARTSPERR,Customer Disabled Items ,,
INKUNDEB,Customer Bonuses ,,
INKUNDED,Advertising Contacts ,,
INKUNDEKONT,Customer Contact List,,
INKUNDEFAVORIT,Customer Item Favorites ,,
INKUNDEK,Customer Group Terms ,,
INKUNDEKONTO,Kundendachkonten,,
INKUNDEKR,Customer Item Group Discount  ,,
INKUNDEKST,Kundenkostenstellen,,
INKUNDELIEF,Customers - Suppliers ,,
INKUNDELOC,Location Search Sequence    ,,
INKUNDEP,Customer Special Prices ,,
INKUNDEPR,Customer Item Discount ,,
INKUNDERFID,Zuordnen RFID zu Artikeln,8 - black,
INFIBLIEF,Supplier Financial Parameter ,,
INLIEF,Supplier Master Data  ,,DO ^INLIEFKILL($G(YKEY))
INLIEFKRZ,Supplier Brief List,,
INLSUCH,Search Suppliers ,,
INLIEFA,Supplier Addresses ,,
INLIEFB,Supplier Bonus  ,,
INLIEFCAT,Supplier Catalog ,,
INLIEFCATGROUP,Catalog Group ,,
INLIEFD,Advertising Contacts ,,
INLIEFK,Item Group Conditions,,
INLIEFKOND,Supplier Condition List,,
INLIEFKD,Category of Commodity Terms Starting from Date ,,
INLIMIT,Edit Budget Open To Buy,,
INLIZ,Enter Software Licenses,,
INLIZDR,Print Software Licenses,,
INLOCLEAD,Location Lead Time  ,,
INLOT,Batch Number  ,,
INLOYALTY,Edit Loyalty Points ,,
INLOYALTYSALE,Loyalty Shipping Order  ,8 - black,
INFIBLP,Stock Location Financial Parameter ,,
INLP,Edit Stock Location,,
INLPCHIP,Show RFID  ,,
INLPCHIPSETUP,Setup Card Reader,,
INLPLAYOUT,Edit Location Layout  ,,D DELETE1^INLPLAYOUT
INLPLAYOUTA,Edit Location Layout  ,,
INLPLAYOUTP,Edit Stock Location Parameters  ,,
INLPLAYOUTSAVE,Stock Location Setup  ,,
INLPLAYOUTSAVEA,Stock Location Setup  ,,
INLXW,Pallet Parameter,,
INLXWD,Print Pallet Locations,,
INLXZ,Pallet Movement (In / Out / Move)  ,,D ^INLXD
INMAHNUNG,Edit Dunning Conditions (Without GL),,
INMAIL,Incoming E-Mails  ,,
INMAILJOB,Send E-Mails  ,8 - black,
INMASCH,Machine Master Data,,
INMASCHD,Print Machine Master Data,,
INMATERIAL,Edit Material Type,,
INMIETE,Cost of Insurance ,,
INPALMLOCATION,POS Table Allocation  ,,
INPALMTABLE,POS Table  ,,
INPARA,Edit User Parameters  ,,
INPARAD,Print User Parameters,,
INPARARC,Adjustment Reason Codes,,
INGEMPARTN,Contacts,8 - black,
INPARTN,Contacts,,
INPARTNFAVORIT,Contact Person Favorites ,,
INPLANAGRAM,Eding Corporate Planagram ,,
INPLANAGRAMSTART,Eding Corporate Planagram ,,
INPLANAGRAMITM,Planagram Item ,,
INPLANAGRAMQTY,Maximum Quantity Exceeded ,,
INPLANAGRAMSET,Planagram Set Information ,,
INPLANAGRAMSETSTART,Planagram Set,,
INPLANAGRAMSETITM,Planagram Set Item ,,
INPLANAGRAMSETSEC,Planagram Set Section ,,
INPLANAGRAMSTORE,Edit Planagram Set Customer ,,
INPLANAGRAMSTOREMOD,Planagram Customer Modification ,,
INPLZ,Enter Postal Zip Code Parameters,,
INPROADJ,Change Available Working Hours  ,,
INPRODAUER,Modify Project Data,8 - black,
INPROJECT,Edit Projects  ,,
INPROJECT1,Projects  ,,
INPROJECTANG,Projects  ,,
INPROJECTTEAM,Project Worker  ,,
INPROJPARA,Project Parameter,,
INPRONEST,Enter Work Groups,,
INPROPJOB1,Production Planning Start/Stop Protocol  ,8 - black,
INPROSTEMP,Print Open Productions,,
INPROSTEMP0,Processing Step History ,,
INPROSTEMP1,Historic Production Information,,
INPROV,Enter Commission Payment Reference,,
INPROVART,Enter Commission Type,8 - black,
INPSHTML,Edit Price Tag Parameter,,
INQANDA,Edit Questions and Answers  ,,
INQMGRUPPE,Edit QC Group  ,,
INQPRUEF,Edit Quality Parameter,,
INRAHMEN,Edit Suppliers Master Contracts  ,8 - black,
INRAHMENGROUP,Item Group Conditions,,
INRAHMENGROUPLIEF,Supplier Item Groups ,,
INRAHMENK,Edit Customer Master Contracts ,8 - black,
INREASONCODE,Reason Codes,,
INREBUCH,Sales Invoice Ledger,,
INREC,Supplier Receipt,,do AfterDelete^INREC(YKEY)
INRECReverse,Supplier Receipt Reversal,,do AfterDelete^INRECReverse(YKEY)
INRECTFR,Transfer Receipt,,
INRECCharge,Supplier Charge Lines,,
INRECLine,Receipt Line,,do OnAfterDelete^INRECLine(YKEY)
INRECReverseLine,Receipt Line,,do AfterDelete^INRECReverseLine(YFELD)
INRECTFRLine,Receipt Line,,
INREPLRULE,Edit Rules  ,,
INREPLRULESUB,Add Rule  ,,
INREPLSYS,System Variable Parameter  ,,
INREPLSYSPARA,Function Parameter  ,,
INReqToSupOrder,Match Requisition to Purchase Orders,,do OnAfterDelete^INReqToSupOrder(YKEY)
INReqToSupOrderLine,,,
INRESERVIERT,Allocation of Customer Order to Purchase Order ,,
INRESERVIERT1,List of Reserved Items,,
INRFID,RFID Masterfile  ,,
INRFIDT,RFID Allocation  ,,
INRFIDT1,Item Part Entry  ,,
INGEMRMA,RMA (Return Material Authorisation),8 - black,
INRMA,Supplier-RMA / Supplier Returns,,
INRMALIEFPTK,Printed Returns ,,
INSALESADJUST,Sales Adjustments,,
INSCH,Edit Debtor Bank File,,
INSCHL,Edit Bank Debit File  ,,
INSCHLVW,Key Administration,,
INSCHLVWD,Print Key List,,
INSHIPINFO,Edit Import Shipments,,
INSHIPINFOCON,Import Container,,
INSHIPINFOCOSTS,Edit Import Costs  ,,
INSNHIST,Print Serial No. History,,
INSNHIST1,Serial Number History  ,,
INSOADLI,Print Other Addresses,,
INSOADR,Enter Other Addresses,,
INSPED,Edit Internal Traffic Master Data,,
INSPEDTOUR,Edit Route Parameter  ,,
INSTAT2,Create Statistics ,,
INSTEUERGRUND,Edit Tax Notice Text ,,
INStockVal,Stock Values by Location,,
INStockValAdjust,Stock Value Adjustment,,
INStockValAdjustPre,Stock Value Adjustment Pre Post Information,,
INSUPBuyingDiscount,Edit Buying Discounts/Surcharges,,
INSUPDiscount,Discounts,,
INSYSLOG,System Protocol  ,,
INTCPIP,Enter IP Numbers,,
INTCPIPDR,Print IP Number List,,
INTELEG,TEST FORMULA Grid,,
INTELEL,TEST FORMULA List Generator,,
INTELES,TEST FORMULA Search,,
TEST_TELEFONNUMMER,,8 - black,
INTFR,Transfer Order,,
INTFRLine,Transfer Order Line,,
INTFRPickLine,Transfer Order Pick Line,,
INTOUR,Route Data ,,
INTOURPACK1,Edit Packing By Tour ,,
INTRANSPACK,Edit Production Packing  ,,
INTRANSPORT,Edit Transportation Cost,,
INULART,Customer/Item Master Maintenance  ,,
INULINVBALS,Affiliate Inventory Balances Download  ,,
INULITMMAST,Affiliate Item Master Data Download  ,,
INULPING,Last Communications Date  ,,
INULPURORDS,Affiliate P.O. Download  ,,
INULSALEHST,Affiliate Sales History Download  ,,
INULSU,Customer Supplier File  ,8 - black,
INULUM,Customer Unit of Measure Maintenance  ,,
INUSER,Program Run Variables ,8 - black,
INVERBAND,Edit Association Master Data,,
INVERBANDK,Customer Group Terms ,,
INVERBANDKUN,Edit Association Customer Data,8 - black,
INVERPACK,Edit Packing Cost,,
INVERPVOR,Edit Delivery Rules,,
INVERSICH,Edit Cost Of Insurance,,
INVKVW,Sales Activity,,
INVKVWL,List of Advertising Campaigns,,
INVKVW1,Contents and Costs of Advertising Campaign,,
INVKVWL1,Sales Promotion List  ,,
INVKVW6,Media Master Data,,
INVOBOX,Voice Controll Box,,
INVODEVICE,Voice Control Device Setup ,,
INVOICELOCK,Voice Control Lock Table ,,
INVOICELOG,Voice Control Task Log,,
INVOICETASK,Voice Control Task Definition ,,
INVOICETASKWFD,Voice Task Workflow Action ,,
INVOICETEST,Voice Control Short Cuts ,,
INVOPERATOR,Voice Control Operator Parameter ,,
INVOREGION,Voice Control Region Parameters ,,
INVORG,Edit General Parameters  ,8 - black,
INVORGB,General Location Parameters,,
INVORGLANG,Language Parameters,8 - black,
INVOSIGNOFF1,Change Sign Off ,,
INVOSTATISTIC,Voice Control Statistic ,,
INVOSYSTEM,Voice Control System Parameter ,,
INBESTLIST,Inventory List,,
INWE,Edit Items On Stock  ,,
INWE1,Goods Relocation  ,,
INWE2,Goods Misalignment ,,
INWELIST,Check List Inventory  ,,
INWEPDA,Edit Items On Stock  ,,
INWERETOUR,Goods Relocation  ,,
INWEAUF,Enter Incoming Goods ,,
INWEAUF2,Redirection of Order Continuance   ,,
INWEAUFALT,Incoming Goods,,
INWEAUFPT,Remove from Stock  ,,
INWEAUFALTS,Job Serial Number,,
INWEAUFS,Job Serial Number,,DO SNHIST^INWEAUF(1)
INWEAUFVOR,Enter Incoming Goods ,,
INWEBUCH,List Incoming Goods,,
INWEINB,Enter Inventory Valuation,,
INWEINBD,Print Valuation List,,
INWEINCYCLE,Cycle Counting,,DO ^INWEINCYCLEKILL
INWEINVE,Process Stocktaking ,,
INWEINVE1,Process Stocktaking ,,
INWEINVELINE,Process Stocktaking ,,
INWEINVEHeader,Edit Stocktake Count,,
INWEINVP,Inventory Date,,
INWEMERKER,Edit Incoming Goods Flags,,
INWER,Reserved Items,,
INWERBADR,Marketing Company Master Data,,DO ^INWERBKILL($G(YKEY))
INWERBADRL,Marketing Master Data List,,
INWERBADRTEST,Marketing Company Master Data,,DO ^INWERBKILL($G(YKEY))
INWERBKON,Marketing Addresses By Contact,,DO ^INWERBKILL($G(YKEY))
INWERBADR1,Advertising Contacts ,,
INWERBKON1,Advertising Contacts   ,,
INWERBKONT,Print Contact List  ,,
INWERBFRAGE,Ask-catalog,,
INWERBFRAGE1,Edit Marketing Questions,,
INWERBKONVL,Advertising Contacts ,,
INWERBKONVOR,Create Telephone And Visitor List  ,,
INWERBTX,Enter Slogans,,
INWERBWVPARA,Edit Reminder Parameter,8 - black,
INWERKZEUG,Edit Tools  ,,
INWERKZEUG1,Display Tools  ,,
INWES,Stock Serial Numbers,,DO SNARTHIST^INWEAUF(1)
INWF,Edit Workflow  ,,
INWFF,Workflow Sequence  ,,
INWFLOW,Edit Order Workflow  ,,
INWFABLAUF,Workflow Protocol  ,,
INWFZW,Workflow File,,
INXGANTT,Edit Gantt Chart  ,,
INXGANTT1,Data Field Chart  ,,
INXGANTT2,Edit Table Header ,,
INZOLL1,Show Tariff Message ,,
INZOLLBETAUS,Edit Company Related Customs Defaults (Export),,
INZOLLBETEIN,Edit Company Related Customs Defaults (Import),,
INZOLLSATZ,Edit Tariff Rate,,
INZOLLVORG,General Customs Master Data  ,,
INZUSCHLAG,Edit Special Surcharge,,
LWCustomer,Customer Maintenance,8 - black,
LWOrder,Edit Order  ,,
LWOrderLine,Order Line,,
LWProject,,,
LWStaff,,,
LWTimesheet,,,
LWTSEntry,,,
AEPPurchaseRequisitionStatus,Purchase Requisition Status,,
AEPSaleOffer,Sale Offer Form,,
AEPSaleOfferLine,Sale Offer Line Item,,
AEPSYSDCM,Data Control,,
PhilTest,PhilTest,,
INCALLI,Information from Sales ,,
REPBatch,Report Batches,,
REPBatchHistory,Report Batch History,,
REPBatchLine,Batch Line Detail,,
REPBatchLineParam,Reporting Batch Line Parameters,,
REPCheque,Cheques,,
REPChequeSegment,Segment,,
REPChequeSegmentTable,Table,,
REPChequeSegmentTableCol,Columns,,
REPChequeSegmentTableData,Data,,
REPCodePage,Code Pages,,
REPParameter,Report Parameters,,
REPParameterJS,Report Parameter Javascript,,
REPParameterLang,Parameter Languages,,
REPPDFSetup,Report Setup Options,8 - black,
REPRep,Report Setup,,
REPRepButton,Report Buttons for Report,,
REPRepCell,Report Cell,,
REPRepGrid,Report Grid,8 - black,
REPRepInp,Report Inputs,,
REPRepLevel,,8 - black,
REPReport,Report Definition,,
REPReportLang,Report Languages,,
REPSavedReports,Reports,,do RemoveOldReports^REP(0)
REPSetup,Report Setup,,
REPSystem,System Settings,,
REPTemp,Report Template,8 - black,
REPTEMP4659493,Location Details,,
REPTEMP8062885,Location Details,,
REPTempButton,Report Buttons for Template,,
REPTempData,Report Data Type,,
REPTempFld,Report Fields for Template,,
REPTempInp,Report Inputs for Template,,
REPTempLevel,Report Level for Template,,
REPTempLevelRep,Level Repeat Options,,
REPTranslation,Report Translations,,
REPTranslationField,Report Translation Fields,,
REPView,View Definition,,do OnAfterDelete^REPView(YKEY)
REPViewField,View Fields,,
REPViewFieldCalc,Calculated View Fields,,
REPWriter,Report Writers,,
SALAccount,Sales Account Definitions,,do OnAfterDelete^SALAccount(YKEY)
SALAccountText,,,
SALAddress,,,
SALAQOH,,,
SALATP,,,
SALAuthorisationCode,Authorisation Code Definition,,
SALButtonEnabled,Button Enabled Code List,,
SALClocking,,,
SALClockingMgr,,,
SALCreditNote,Credit Notes,,
SALCSTButton,C Store Button,,
SALCSTButtonSecurity,ButtonSecurity,,
SALCSTButtonText,C Store Button Text,,
SALCSTCat,Category,,
SALCSTCatPLU,Category Products,,
SALCSTCustomerInvoice,Open Customer Invoice for Edit,,
SALCSTForm,Form Template,,
SALCSTFunction,Template Functions,,
SALCSTFunctionSecurity,Function Security,,
SALCSTGrid,Grid Template,,
SALCSTGridButton,Grid_Template,,
SALCSTGridCol,Grid Columns,,
SALCSTGridColText,Grid Column Language Conversion,,
SALCSTGridColType,Grid Column Types,,
SALCSTGridText,,,
SALCSTHold,Held Sales,,
SALCSTMenuContent,Menu Contents,,
SALCSTMenuContentText,Menu Content Language Conversion,,
SALCSTMenuHeader,Primary Menu Items,,
SALCSTMenuHeaderText,Menu Header Language Converison,,
SALCSTSaleLine,C Store Sale Lines,,
SALCSTScanCode,Scan ASCII Codes,,
SALCSTSecurity,Security Overrides,,
SALCSTSegment,C Store Segment Layouts,,
SALCSTSegmentLayer,Segment Layers,,
SALCSTSegmentLayerText,Segment Layer Language Text,,
SALCSTSegmentText,Segment Language Conversion,,
SALCSTShipUnit,Shippable Units,,
SALCSTStyleSheet,Template Button Style Sheets,,
SALCSTTemplate,Sale Templates,,do DeleteTemplate^SALCSTTemplate(YKEY)
SALCustomer,Sales Customer File,,
SALCustomerShipTo,Sales Customer File,,
SALCustomerInvoice,Customer Invoices,,
SALCustomerOrderLine,,,
SALDiscount,Discount Types,8 - black,
SALGLProfileCode,Profile Codes for Sale,,
SALCategory,Sales Category Information,,
SALHelp,Help - System Usage,,
SALINFOCommand,Information Button Command,,
SALINTAccount,Sales Accounts,,
SALKeyword,Keyword Search,8 - black,
SALKeywordSetup,Keyword Setups,,
SALLayby,Laybys,,
SALLaybyHistory,Layby History Lines,,
SALLaybyLine,Layby Lines,,
SALLaybyPayment,Layby Payments,,
SALLayByRelease,,,
SALLocationRule,Location Rules,8 - black,
SALSystemRule,System Rules,8 - black,
SALLogo,Sales Logo,,
SALLoyaltyProgram,Loyalty Programs,,
SALLoyaltyProgramExceptions,,,
SALOrderLineSearch,Order Line Search,,
SALOrderSearch,Order Search for Customer %1,,
SALPayment,Payment Types,,
SALPhoneBook,Phone Book,,
SALPOSLocation,POS Locations,,do RemoveOldRules^SALLocationRule()
SALPrinter,Network Printers,,
SALPrinterType,Printer Types,,
SALProduct,Product Search,,
SALProductAlternate,Alternate Products,,
SALProductComplementary,,,
SALPromotion,Promotions,,
SALPromotionProduct,Products for promotion,,
SALPromotionRule,Promotion Rules,,
SALQuantityBreakSearch,,,
SALQuote,Sale Quote Cache,,
SALReasonCode,Reason Codes,,
SALReservedHotKey,Reserved Hot Keys,,
SALReturnAuthority,Return Authority,,
SALRoster,Default Rosters,,
SALRule,Sale Rule Definitions,,do RemoveOldRules^SALLocationRule()
SALRuleDefault,Default Rules,8 - black,
SALRuleText,Sales Rule Language Conversion,,
SALRuleType,Rule Types,8 - black,
SALRuleTypeText,Rule Type Language Conversion,,
SALSaleHeader,Sale Details,,
SALSaleLine,Sale Lines,,
SALSaleProduct,Sales History - Product,,
SALSaleLineProperties,Line properties to be displayed for line type,,
SALSaleLost,Lost Sales,,
SALSubAccount,Sub Account Definitions,,
SALTillRecCount,Check Till Count,,
SALTillRecCountFilter,Check Till Count Filter,,
SALTillRecPost,Post Till Reconciliation,,
SALTimesheet,Timesheet,,
SALUserRoster,Default Roster for Users,,
SALVoucher,Redeemable Vouchers,,
SALVoucherCode,Voucher Codes,,
SALVoucherType,Voucher Code Setup,,
SCHTest,SCHTest,,
SCHTestLine,SCHTestLine,,
STKBarcodeRelation,Field Relations,,
STKBarcodeSetup,Label Design,,
STKBarcodeSetupField,Label Fields,,
STKBarcodeType,Label Types,,
STKPrintItemBarcode,Edit Print Line Items,,
STKTransfer,Stock Transfers,,
STKTransferCompanyRule,Stock Transfer Company Rules,,
STKTransferLine,Lines for Transfer,,
STKTransferLocationRule,Stock Transfer Location Rules,,
STKTransferUserRule,Stock Transfer User Rules,,
TERMINAUF,Processes date or task  ,,
TERMINF,single Date   ,,
TERMINRM,single Date   ,,
TERMIN1,Address Database,,
TERMIN8,default,,
TERMIN81,default,,
TERMIN9,holiday,,
TERMINMAIL,Personal E-Mail Directory  ,,
TERMINPLAN,Date Planning ,,
TERMINPLANSUCH,Display Time Scheduling  ,,
TEST1,Test Sortkey1  ,,
Test2,My Test number 2,,
TestDB,Dave's test,8 - black,
Testing,Testing for Sean,,
TESTMUSSF,Authorisation_Code_Definition,,
TESTSR,Test,,
TSComparison,Comparison,,
TSComparisonStatus,Comparison Status,,
TSCompTransStatus,Component Translation Status,,
TSCompTransToDo,Component Translation To Do,,
TSTranslationMap,Translation Map,,
TSTranslationSettingsUI,Translation Settings,,
TSClassTranslationStatus,Translation/Revision Status for CLASS/Language,,
TSClassTranslationToDo,To Do List for each form at each language,,
TSCompareNamespacesConfig,Configuring the Classes,,
TSCompareNamespacesLog,Log of all changes,,
TSFormTranslationStatus,Translation/Revision Status for Form/Language,,
TSFormTranslationToDo,To Do List for each form in each language,,
TSRegisteredGlobalCompare,Registered Global Compare,,
VARINCALLLine,Service Request Lines,,
VARTRKReceipt,Temporary receipt lines (multiline) (TrakHealth),,
VIEW.Reports.COMLocationData,Location Details,,
VIEWCOMLocationData,Location Details,,
VIEWFINARInv,Finance Customer Invoices,,
VIEWFINGLBankReconHeader,Bank Recon Header Data,,
VIEWFINGLPeriodTotal,Ledger Period Totals,,
VIEWINAUF,Order Header,,
VIEWINAUFP,Order Line,,
VIEWINAUFRELEASEVOR,Order Suggestion List Defaults,,
VIEWINStockHistory,Stock History (By Item Group),,
VIEWINTFR,Interwarehouse Transfers,,
VIEWINTFRPickLine,Interwarehouse Transfer Picked Lines,,
VIEWINWE,Goods on hand,,
VIEWINWEAUF,Goods Receipt,,
VIEWINWEAUFOld,Goods Receipt,,
VIEWVARFINAPPositivePay,Positive Pay,,
WFAction,Workflow Action,,
WFDoc,Workflow Document,,
WFDocType,Document Type,,
WFState,Workflow State,,
WWW000,Routine Editor,,
WWW001,Create Classes,,D ^WWWDLOE
WWW0011,Class/Language Definition,,
WWW0013,Sort Index Name  ,,
WWW001B,Bit Map Index  ,,
WWW001BD,Bit Map Index  ,,
WWW001VARHooks,Client Callbacks,,
WWW001XML,Transmit Modifications To,,
WWW002,Create Primary Keys,,
WWW0021,Primary Key Language Text,,
WWW0022,Primary Key Relation Filters,,
WWW002D,Property Name Primary Key ,,
WWW003,Data Items,,
WWW0031,Data Item Language Text,,
WWW0032,Data Field Relation Filters,,
WWW003Calc,Calculated Fields,,
WWW003CalcLang,Calculated Field Translations,,
WWW003D,Property Name Datafields,,
WWW004,Create User Menu,,
WWWSMA,Search For Form Names,,
WWW0041,Menu Description Language,,
WWW00411,Main Menu Translation  ,,
WWW0044,Edit Program Entitlements,,
WWW00441,Set  Program Entitlements ,,
WWW00442,Button Entitlement,,
WWW00444,Tab Entitlement,,
WWW004X,Create Company Menu    ,,
WWW006,Delete Lock File  ,,
AEPLanguageTexts,AEP Language Texts,,
COMLanguage,COM Language Text,8 - black,
CSTLanguage,Language Text,8 - black,
FINLanguage,Financial Language Text,,
REPLangText,Reporting Language Text,,
SALLanguage,Language Text,8 - black,
STKLanguage,Stock Control Language Text,,
TSWWW009,Edit Language Text,,
WWW009,Edit Language Text,,
WWW012,Edit General Company Parameter,,
WWW120A,Valid Until  ,,
SALLocation,Locations,8 - black,
WWW0121,Company Specifications,,
WWW0121C,Edit Locations,,
WWW0124,Edit Departments,,
WWW0125,Valuable Until  ,,
WWW012E,Exchange Project Name In Code  ,,
WWW012V,Valid Until  ,,
WWW013,Employee Master Data,,
WWW013D,Print Employee Master Data,,
WWW013GH,Print Pay Roll,,
WWW0132,User Menu ,,
TERMIN3,group,,
WWW0133,Information  ,,
WWW013G,Wages,,
WWW013URL,Employee Leave File  ,8 - black,
WWW013ZB,Time Correction,,
TSWWW100,Edit System Parameter,,
WWW100,Edit System Parameter,,
WWW100D,Print System Parameter,,
WWW101,Edit Application Parameter    ,,
WWW101D,Print Application Parameter  ,,
WWW101C,Edit Parameters  ,,
WWW102,Edit Application Parameter    ,,
WWW120,Create Forms And Listings,,K VORG D ^WWWFLOE
WWWWIZ,form-wizard  ,,
WWW1201,Form Name Languages,,
WWW1203,Tab Pictures    ,,
WWW1203D,Tab Pictures Customisation,,
WWW1205B,Statistics,,
WWW120D,Customizing Form Name  ,,
WWW120D1,Company Dependent Form Defaults,,
WWW121,Edit Primary Keys,,
WWW1210,Option Items,,
WWW1211,Other Language Option Text ,,
WWW121D,Company Dependent Defaults (Customizing Primary Keys),,
WWW121D1,Customize Language  ,,
WWW122,Form Data Fields ,,D ^WWW122D($G(YKEY))
WWW1221,Manual Language Text   ,,
WWW122D,Company Dependent Defaults (Customizing Per Field),,
WWW122D1,Customizing Language  ,,
WWW122D2,Customizing Rules  ,,
WWW123,Data Record Search,,
WWW1231,Search display of data fields,,
WWW1232,Search display of data fields,,
WWW124,Button Database,,
WWW124D,Custom Buttons,,
WWW1251,sort and option items,,
WWW126,key defaults,,
WWW1264,Recent Documents,,
WWW127,form help database,,
WWW1271,Program Area Texts,,
WWW128,Edit Numerator,,
WWW1280,Edit Numerator,,
WWW129,JavaScript primary key,,
WWW1291,JavaScript,,
WWW131,listings database,,
WWW132,List Primary Key  ,,
WWW133,List Data Fields  ,,
WWWAMDEFINPUT,Enter Input Definition,8 - black,"I $G(YKEY)'="" K ^WWWAMDEFINPUTE(0,YKEY)"
WWWAMDEFINPUTE,Input Events  ,,
WWWAMDEFPAGE,Enter Page Definition,,
WWWAMDEFSYS,Application Parameter ,,
WWWAMDEFSYSM,Application Start Action  ,,
WWWAMDEFTAG,Enter Tag Definition,,"I $G(YKEY)'="" K ^WWWAMDEFTAGE(0,YKEY)"
WWWAMDEFTAGE,Tag Event  ,,
WWWAMHTML,Enter HTML Code,8 - black,
WWWAMINFO,Info Pages,,
WWWANM,write mailings  ,,
WWWANS,e-mail answering,,
WWWANSR,e-mail answer rules,,
WWWBENCH,Form Benchmark  ,,
WWWBITSEARCH1,Edit Search Alternatives,,
WWWBITSEARCH2,Search Name Part ,,
WWWCAL1,Edit Calendar Defaults,,
WWWCHECKHTML,Executes For Check On HTML Start,,
WWWCLASSCALC,Calculated Fields ,,
WWWCLASSMETH,Class Method ,,
WWWCODE,Edit Special Code  ,,
WWWCONVERT,File Conversion  ,,
WWWCONVERT1,Field Confersion  ,,
WWWCONVERT2,Conversion Table,,
WWWDIR,directory,,
WWWDMEU1,data items  ,,
WWWDRAGDROP,Create Charts  ,,
WWWDRAGDROPD,Datafield Chart  ,,
WWWEDU,Edit Training Sessions    ,,
WWWEDUSP,Training Parameters Language Text Class  ,,
WWWENCODE,URL Encode Table,,
WWWEP,Edit Entry Points,,
WWWERROR,Event Protocol  ,,
WWWERROR1,,,
WWWFLD,folder,,
WWWFOOL,Print Faulty Logins  ,,
WWWGEB,Birthday-mail  ,,
WWWGEBM,Personal Reminder Mail  ,,
WWWGUIDEF,Table Definition  ,,
WWWGUIDEFS,Table Column Definition  ,,
WWWHTML,Edit HTML Forms,,
WWWIMPOPROFIL,Import Profile ,,
WWWINFORM,Information  ,,
WWWKALENDER,Edit Calendar And Holidays,,DO KILL^WWWKALENDER
WWWKEY,Edit Licence Key  ,,
WWWKURS,Exchange Rate  ,,
WWWLAST,Last Mod,,
WWWLOGIN,Print Login Table  ,,
WWWLOGIN1,Login File  ,,
WWWPDA,PDA Device  ,8 - black,
WWWPIC,Statistic Values  ,8 - black,
WWWPRINTER,Printer Definition,,
WWWPRINTERESC,Printer Code,,
WWWPRINTING,Print Line Definition,,
PKTest,Test,,
WWWRES,Reserved SQL Words,,
WWWRM,Rooms  ,,
WWWRM1,Room availability  ,,
WWWSORTKEY,Reload Sort Keys Automatically  ,,
WWWSQL,Edit SQL Lists  ,,
WWWSTRUKTUR,Define Structures for Search Displays,,
WWWSYSTEM,Edit Customer Systems  ,,
WWWSYSTEM1,Edit Programs  ,,
WWWSystemSetup,Edit System Setup,,
WWWTAG,Edit Auto Executes,,
WWWUMLAU,Character Translate,,
WWWUploadDirectory,Upload Directories,,
WWWUSERPARA,Edit User Parameters  ,,
WWWVERSION,Program Version  ,8 - black,
WWWWAE,Edit Currencies,,
WWWWAEDATE,Currency By Date ,,
WWWWV1,Reminders,,
zzJoe,Temp joe,,
zzPHILSCLASS,,,
